Feature,Importance
total_skills,0.13644670079522256
ai_readiness_score,0.07746808900830472
skill_diversity,0.05917907127726233
data_engineering_score,0.04842456861830079
ml_skills,0.04407478071844661
cloud_tools,0.04250651530719032
cloud_score,0.03519195505083595
programming_languages,0.03474769049146586
visualization_score,0.033845865839506994
analytics_score,0.02967765865581424
data_engineering,0.029585922676755635
has_python,0.027020052039749574
analytics,0.024592542567939937
big_data,0.02112157029441036
spreadsheet,0.01896535961906326
bi_tools,0.018561277447384936
databases,0.017687633938281787
has_snowflake,0.01566741493698699
has_sql,0.014814946916363111
has_data_warehouse,0.014588854883711887
has_nosql,0.01448729596744644
has_git,0.014090550649459343
has_data_governance,0.013537460428097572
ai_skills,0.013103824129732586
has_tableau,0.012630692825172773
has_r,0.011655456783156744
devops,0.010475903922719115
has_mysql,0.010436108952320926
has_large_language_models,0.010329092540552493
has_power_bi,0.009263654965068046
has_microsoft_excel,0.008106902548403912
has_oracle_sql,0.007858689620445076
has_sql_server_integration_services,0.007520603899504611
business_analysis,0.007496156910105163
has_sql_server,0.007356012859246096
has_data_manipulation,0.0068828275782856895
has_apache_spark,0.006646363129619182
has_ci/cd,0.006464597185122399
has_apache_hadoop,0.005321375175954048
has_github,0.0047841740045844
version_control,0.004715548898681989
has_microsoft_copilot,0.004334873648624659
has_real-time_data_processing,0.004235959834937517
has_tensorflow,0.0037879952916429114
has_amazon_web_services,0.003649769644096996
has_azure_devops,0.0032897715836135385
has_cloud_platform,0.0029356086776241835
has_pytorch,0.0028688313155475612
has_microsoft_azure,0.002734006902940089
has_generative_ai,0.002490621742783693
has_infrastructure_as_a_service,0.002261594712229461
has_oracle_bi_publisher,0.002234872178014553
has_google_cloud_platform,0.0022105217728358335
has_databricks,0.0020994146922621256
has_bias-variance_tradeoff,0.002068303799992643
etl_tools,0.0020386953239128892
has_amazon_sagemaker,0.0019198979619303202
has_docker,0.0018807455375484574
has_azure_synapse,0.001766475242455318
has_azure_data_factory,0.0017517471747141415
has_elastic_load_balancer,0.001504253549313144
has_data_standardization,0.0014909019678966346
has_scikit-learn,0.0014907440897397495
has_workflow_orchestration,0.0014012347238967768
has_recommendation_systems,0.0013656217406048082
has_modern_data_stack,0.00136517429208063
has_unsupervised_learning,0.001292093717261889
has_apache_druid,0.001175645400466391
has_kubernetes,0.0010228594243564956
