Feature,Importance
total_skills,0.24749989955691015
ai_readiness_score,0.06652661431375798
skill_diversity,0.05471670307781464
data_engineering_score,0.04461097235097773
ml_skills,0.032853905092358894
cloud_score,0.03106516671943986
visualization_score,0.030407301202478358
cloud_tools,0.029945676090080708
analytics_score,0.02972694106812656
data_engineering,0.028483866669533325
programming_languages,0.02549556692032498
has_python,0.020932401876576405
analytics,0.019004858976921276
spreadsheet,0.018967739519084044
big_data,0.018088949804587463
bi_tools,0.017903847488768953
has_data_warehouse,0.016189041187975144
has_snowflake,0.015697632230264692
databases,0.01558199446449958
has_git,0.015111547447659489
has_sql,0.014832961913359713
has_r,0.014690893842320448
has_nosql,0.012060825162766058
ai_skills,0.01132552533901086
has_tableau,0.010689788104367095
has_data_governance,0.010465361121780238
has_mysql,0.010048566731639865
business_analysis,0.009771759821058565
devops,0.009676916778726707
has_microsoft_excel,0.008424586798827053
has_large_language_models,0.008025650381680455
has_power_bi,0.007271019733469622
has_oracle_sql,0.0061030299811344665
has_sql_server_integration_services,0.005989655916515774
has_apache_hadoop,0.005306235523670461
has_apache_spark,0.005198971185123611
has_sql_server,0.0051888233899409055
version_control,0.004149955354779888
has_ci/cd,0.0037615271303028603
has_github,0.003723337310953717
has_tensorflow,0.003694241110193489
has_microsoft_copilot,0.003302253465598718
has_amazon_web_services,0.0032596526586707807
has_real-time_data_processing,0.0032259326362344774
has_pytorch,0.0031274116876085635
has_azure_devops,0.0026054558168059215
has_infrastructure_as_a_service,0.002601459199852564
has_azure_data_factory,0.0021843484573116734
has_cloud_platform,0.002141035947390572
has_generative_ai,0.002089107421457029
has_oracle_bi_publisher,0.0020529601344013958
etl_tools,0.00188064056719279
has_microsoft_azure,0.0017769670294711338
has_apache_druid,0.001760319987849212
has_azure_synapse,0.0017237675894177372
has_bias-variance_tradeoff,0.0017072531173052319
has_amazon_sagemaker,0.0015792480159878691
has_workflow_orchestration,0.0015278922736944342
has_google_cloud_platform,0.0015118123065817682
has_databricks,0.001488877355404911
has_recommendation_systems,0.0014410814197924847
has_scikit-learn,0.00130780678795577
has_data_standardization,0.0013018607325320547
has_docker,0.0012219776056264892
has_unsupervised_learning,0.0010528349823506534
has_elastic_load_balancer,0.0010274392487975576
has_kubernetes,0.0009769718701562247
has_modern_data_stack,0.0009133729947899106
