Feature,Importance
total_skills,0.24749989955691015
ai_readiness_score,0.06652661431375798
skill_diversity,0.05471670307781464
data_engineering_score,0.04461097235097773
ml_skills,0.032853905092358894
cloud_score,0.03106516671943986
visualization_score,0.030407301202478358
cloud_tools,0.029945676090080708
analytics_score,0.02972694106812656
data_engineering,0.028483866669533325
programming_languages,0.02549556692032498
has_python,0.020932401876576405
analytics,0.019004858976921276
spreadsheet,0.018967739519084044
big_data,0.018088949804587463
bi_tools,0.017903847488768953
has_data_warehouse,0.016189041187975144
has_snowflake,0.015697632230264692
databases,0.01558199446449958
has_git,0.015111547447659489
